name,category,calories,protein,fat,carbs
"Манная крупа, варёный",Крупы и бобовые,113.2,3.6,0.5,23.3
"Манная крупа, готовый без масла",Крупы и бобовые,119.9,3.7,0.5,24.7
"Кукурузная крупа, сухой продукт",Крупы и бобовые,337,8.3,1.2,75.0
"Кукурузная крупа, варёный",Крупы и бобовые,114.6,2.9,0.5,24.8
"Кукурузная крупа, готовый без масла",Крупы и бобовые,121.3,3.0,0.6,26.2
"Ячневая крупа, сухой продукт",Крупы и бобовые,324,10.0,1.3,65.4
"Ячневая крупа, варёный",Крупы и бобовые,110.2,3.5,0.6,21.6
"Ячневая крупа, готовый без масла",Крупы и бобовые,116.6,3.6,0.7,22.9
"Амарант, сухой продукт",Крупы и бобовые,371,13.6,7.0,65.3
"Амарант, варёный",Крупы и бобовые,126.1,4.8,3.1,21.5
"Амарант, готовый без масла",Крупы и бобовые,133.6,4.9,3.5,22.9
"Полба, сухой продукт",Крупы и бобовые,338,14.6,2.4,70.2
"Полба, варёный",Крупы и бобовые,114.9,5.1,1.1,23.2
"Полба, готовый без масла",Крупы и бобовые,121.7,5.3,1.2,24.6
"Рожь цельная, сухой продукт",Крупы и бобовые,338,10.3,1.6,75.9
"Рожь цельная, варёный",Крупы и бобовые,114.9,3.6,0.7,25.0
"Рожь цельная, готовый без масла",Крупы и бобовые,121.7,3.7,0.8,26.6
"Куриная грудка, сырой",Мясо и птица,135.3,22.3,3.1,0
"Куриная грудка, варёный",Мясо и птица,156.8,31.0,3.2,0
"Куриная грудка, запечённый без масла",Мясо и птица,168.3,32.6,3.3,0
"Куриное бедро без кожи, сырой",Мясо и птица,171.4,18.7,9.3,0
"Куриное бедро без кожи, варёный",Мясо и птица,198.5,26.0,9.8,0
"Куриное бедро без кожи, запечённый без масла",Мясо и птица,213.2,27.3,10.0,0
"Куриное бедро с кожей, сырой",Мясо и птица,187.8,18.0,12.8,0
"Куриное бедро с кожей, варёный",Мясо и птица,217.5,25.0,13.5,0
"Куриное бедро с кожей, запечённый без масла",Мясо и птица,233.6,26.2,13.8,0
"Куриная голень, сырой",Мясо и птица,151.7,19.4,6.8,0
"Куриная голень, варёный",Мясо и птица,175.8,27.0,7.2,0
"Куриная голень, запечённый без масла",Мясо и птица,188.7,28.4,7.4,0
"Куриное крыло, сырой",Мясо и птица,166.5,22.0,6.9,0
"Куриное крыло, варёный",Мясо и птица,192.8,30.5,7.3,0
"Куриное крыло, запечённый без масла",Мясо и птица,207.1,32.0,7.5,0
"Индейка грудка, сырой",Мясо и птица,110.7,20.9,1.5,0
"Индейка грудка, варёный",Мясо и птица,128.2,29.0,1.6,0
"Индейка грудка, запечённый без масла",Мясо и птица,137.7,30.5,1.7,0
"Индейка бедро, сырой",Мясо и птица,139.4,18.7,6.0,0
"Индейка бедро, варёный",Мясо и птица,161.5,26.0,6.3,0
"Индейка бедро, запечённый без масла",Мясо и птица,173.4,27.3,6.4,0
"Говядина постная, сырой",Мясо и птица,153.3,18.7,6.8,0
"Говядина постная, варёный",Мясо и птица,177.7,26.0,7.2,0
"Говядина постная, запечённый без масла",Мясо и птица,190.7,27.3,7.4,0
"Говядина вырезка, сырой",Мясо и птица,177.9,18.7,10.2,0
"Говядина вырезка, варёный",Мясо и птица,206.1,26.0,10.8,0
"Говядина вырезка, запечённый без масла",Мясо и птица,221.3,27.3,11.0,0
"Говяжий фарш 10%, сырой",Мясо и птица,144.3,14.4,8.5,0
"Говяжий фарш 10%, варёный",Мясо и птица,167.2,20.0,9.0,0
"Говяжий фарш 10%, запечённый без масла",Мясо и птица,179.5,21.0,9.2,0
"Телятина, сырой",Мясо и птица,141.0,21.6,4.2,0
"Телятина, варёный",Мясо и птица,163.4,30.0,4.5,0
"Телятина, запечённый без масла",Мясо и птица,175.4,31.5,4.6,0
"Свинина вырезка, сырой",Мясо и птица,117.3,18.7,3.0,0
"Свинина вырезка, варёный",Мясо и птица,135.8,26.0,3.1,0
"Свинина вырезка, запечённый без масла",Мясо и птица,145.9,27.3,3.2,0
"Свинина корейка, сырой",Мясо и птица,198.4,19.4,11.9,0
"Свинина корейка, варёный",Мясо и птица,229.9,27.0,12.6,0
"Свинина корейка, запечённый без масла",Мясо и птица,246.8,28.4,12.9,0
"Свиной фарш, сырой",Мясо и птица,215.7,12.2,17.8,0
"Свиной фарш, варёный",Мясо и птица,249.8,17.0,18.9,0
"Свиной фарш, запечённый без масла",Мясо и птица,268.3,17.9,19.3,0
"Баранина постная, сырой",Мясо и птица,168.9,20.2,7.6,0
"Баранина постная, варёный",Мясо и птица,195.7,28.0,8.1,0
"Баранина постная, запечённый без масла",Мясо и птица,210.1,29.4,8.3,0
"Баранина лопатка, сырой",Мясо и птица,211.6,18.0,14.4,0
"Баранина лопатка, варёный",Мясо и птица,245.1,25.0,15.3,0
"Баранина лопатка, запечённый без масла",Мясо и птица,263.2,26.2,15.6,0
"Кролик, сырой",Мясо и птица,141.9,23.8,3.0,0
"Кролик, варёный",Мясо и птица,164.3,33.0,3.1,0
"Кролик, запечённый без масла",Мясо и птица,176.5,34.6,3.2,0
"Утка без кожи, сырой",Мясо и птица,164.8,16.9,9.3,0
"Утка без кожи, варёный",Мясо и птица,190.9,23.5,9.9,0
"Утка без кожи, запечённый без масла",Мясо и птица,205.0,24.7,10.1,0
"Утка с кожей, сырой",Мясо и птица,276.3,13.7,23.8,0
"Утка с кожей, варёный",Мясо и птица,320.1,19.0,25.2,0
"Утка с кожей, запечённый без масла",Мясо и птица,343.7,19.9,25.8,0
"Куриная печень, сырой",Мясо и птица,136.9,17.6,5.5,1
"Куриная печень, варёный",Мясо и птица,158.7,24.5,5.9,1
"Куриная печень, запечённый без масла",Мясо и птица,170.3,25.7,6.0,1
"Говяжья печень, сырой",Мясо и птица,143.5,18.7,4.2,5
"Говяжья печень, варёный",Мясо и птица,166.2,26.0,4.5,5
"Говяжья печень, запечённый без масла",Мясо и птица,178.5,27.3,4.6,5
"Куриные сердечки, сырой",Мясо и птица,151.7,18.7,6.8,1
"Куриные сердечки, варёный",Мясо и птица,175.8,26.0,7.2,1
"Куриные сердечки, запечённый без масла",Мясо и птица,188.7,27.3,7.4,1
"Говяжий язык, сырой",Мясо и птица,183.7,11.5,13.6,2
"Говяжий язык, варёный",Мясо и птица,212.8,16.0,14.4,2
"Говяжий язык, запечённый без масла",Мясо и птица,228.5,16.8,14.7,2
"Ветчина нежирная, сырой",Мясо и птица,118.9,15.1,5.1,1
"Ветчина нежирная, варёный",Мясо и птица,137.8,21.0,5.4,1
"Ветчина нежирная, запечённый без масла",Мясо и птица,147.9,22.1,5.5,1
"Сосиски молочные, сырой",Мясо и птица,218.1,7.9,20.4,2
"Сосиски молочные, варёный",Мясо и птица,252.7,11.0,21.6,2
"Сосиски молочные, запечённый без масла",Мясо и птица,271.3,11.6,22.1,2
"Лосось, сырой",Рыба и морепродукты,170.6,15.6,11.7,0
"Лосось, варёный",Рыба и морепродукты,197.6,20.0,12.3,0
"Лосось, запечённый без масла",Рыба и морепродукты,214.2,21.0,12.7,0
"Форель, сырой",Рыба и морепродукты,155.8,16.0,10.8,0
"Форель, варёный",Рыба и морепродукты,180.5,20.5,11.4,0
"Форель, запечённый без масла",Рыба и морепродукты,195.7,21.5,11.8,0
"Тунец, сырой",Рыба и морепродукты,118.1,17.9,4.5,0
"Тунец, варёный",Рыба и морепродукты,136.8,23.0,4.8,0
"Тунец, запечённый без масла",Рыба и морепродукты,148.3,24.2,4.9,0
"Треска, сырой",Рыба и морепродукты,86.1,17.9,0.9,0
"Треска, варёный",Рыба и морепродукты,99.8,23.0,0.9,0
"Треска, запечённый без масла",Рыба и морепродукты,108.2,24.2,1.0,0
"Хек, сырой",Рыба и морепродукты,91.0,15.6,2.7,0
"Хек, варёный",Рыба и морепродукты,105.4,20.0,2.8,0
"Хек, запечённый без масла",Рыба и морепродукты,114.3,21.0,2.9,0
"Минтай, сырой",Рыба и морепродукты,91.0,17.9,1.1,0
"Минтай, варёный",Рыба и морепродукты,105.4,23.0,1.1,0
"Минтай, запечённый без масла",Рыба и морепродукты,114.3,24.2,1.2,0
"Скумбрия, сырой",Рыба и морепродукты,168.1,14.8,12.6,0
"Скумбрия, варёный",Рыба и морепродукты,194.8,19.0,13.3,0
"Скумбрия, запечённый без масла",Рыба и морепродукты,211.2,19.9,13.7,0
"Сельдь, сырой",Рыба и морепродукты,166.5,14.0,13.5,0
"Сельдь, варёный",Рыба и морепродукты,192.8,18.0,14.2,0
"Сельдь, запечённый без масла",Рыба и морепродукты,209.1,18.9,14.7,0
"Сардина, сырой",Рыба и морепродукты,170.6,19.5,10.3,0
"Сардина, варёный",Рыба и морепродукты,197.6,25.0,10.9,0
"Сардина, запечённый без масла",Рыба и морепродукты,214.2,26.2,11.3,0
"Дорадо, сырой",Рыба и морепродукты,78.7,15.4,1.7,0
"Дорадо, варёный",Рыба и морепродукты,91.2,19.7,1.8,0
"Дорадо, запечённый без масла",Рыба и морепродукты,98.9,20.7,1.9,0
"Сибас, сырой",Рыба и морепродукты,101.7,17.9,2.7,0
"Сибас, варёный",Рыба и морепродукты,117.8,23.0,2.8,0
"Сибас, запечённый без масла",Рыба и морепродукты,127.7,24.2,2.9,0
"Камбала, сырой",Рыба и морепродукты,95.9,18.7,1.8,0
"Камбала, варёный",Рыба и морепродукты,111.1,24.0,1.9,0
"Камбала, запечённый без масла",Рыба и морепродукты,120.5,25.2,2.0,0
"Карп, сырой",Рыба и морепродукты,104.1,14.0,5.0,0
"Карп, варёный",Рыба и морепродукты,120.6,18.0,5.3,0
"Карп, запечённый без масла",Рыба и морепродукты,130.8,18.9,5.5,0
"Судак, сырой",Рыба и морепродукты,68.9,14.4,1.0,0
"Судак, варёный",Рыба и морепродукты,79.8,18.4,1.0,0
"Судак, запечённый без масла",Рыба и морепродукты,86.5,19.3,1.1,0
"Щука, сырой",Рыба и морепродукты,72.2,14.4,1.0,0
"Щука, варёный",Рыба и морепродукты,83.6,18.4,1.0,0
"Щука, запечённый без масла",Рыба и морепродукты,90.6,19.3,1.1,0
"Креветки, сырой",Рыба и морепродукты,81.2,18.7,0.3,0.2
"Креветки, варёный",Рыба и морепродукты,94.0,24.0,0.3,0.2
"Креветки, запечённый без масла",Рыба и морепродукты,102.0,25.2,0.3,0.2
"Кальмар, сырой",Рыба и морепродукты,75.4,12.2,1.3,3.1
"Кальмар, варёный",Рыба и морепродукты,87.4,15.6,1.3,3.1
"Кальмар, запечённый без масла",Рыба и морепродукты,94.8,16.4,1.4,3.1
"Мидии, сырой",Рыба и морепродукты,141.0,18.7,4.0,7.4
"Мидии, варёный",Рыба и морепродукты,163.4,24.0,4.3,7.4
"Мидии, запечённый без масла",Рыба и морепродукты,177.2,25.2,4.4,7.4
"Осьминог, сырой",Рыба и морепродукты,134.5,23.4,1.9,4.4
"Осьминог, варёный",Рыба и морепродукты,155.8,30.0,2.0,4.4
"Осьминог, запечённый без масла",Рыба и морепродукты,168.9,31.5,2.1,4.4
"Крабовое мясо, сырой",Рыба и морепродукты,79.5,14.8,1.4,0
"Крабовое мясо, варёный",Рыба и морепродукты,92.1,19.0,1.4,0
"Крабовое мясо, запечённый без масла",Рыба и морепродукты,99.9,19.9,1.5,0
"Картофель, сырой",Овощи,77,2,0.1,17
"Картофель, приготовленный без масла",Овощи,72.4,1.9,0.1,15.6
"Батат, сырой",Овощи,86,1.6,0.1,20.1
"Батат, приготовленный без масла",Овощи,80.8,1.5,0.1,18.5
"Морковь, сырой",Овощи,41,0.9,0.2,9.6
"Морковь, приготовленный без масла",Овощи,38.5,0.9,0.2,8.8
"Свёкла, сырой",Овощи,43,1.6,0.2,10
"Свёкла, приготовленный без масла",Овощи,40.4,1.5,0.2,9.2
"Капуста белокочанная, сырой",Овощи,25,1.3,0.1,5.8
"Капуста белокочанная, приготовленный без масла",Овощи,23.5,1.2,0.1,5.3
"Капуста краснокочанная, сырой",Овощи,31,1.4,0.2,7.4
"Капуста краснокочанная, приготовленный без масла",Овощи,29.1,1.3,0.2,6.8
"Брокколи, сырой",Овощи,34,2.8,0.4,6.6
"Брокколи, приготовленный без масла",Овощи,32.0,2.7,0.4,6.1
"Цветная капуста, сырой",Овощи,25,1.9,0.3,5
"Цветная капуста, приготовленный без масла",Овощи,23.5,1.8,0.3,4.6
"Брюссельская капуста, сырой",Овощи,43,3.4,0.3,9
"Брюссельская капуста, приготовленный без масла",Овощи,40.4,3.2,0.3,8.3
"Кабачок, сырой",Овощи,17,1.2,0.3,3.1
"Кабачок, приготовленный без масла",Овощи,16.0,1.1,0.3,2.9
"Баклажан, сырой",Овощи,25,1,0.2,6
"Баклажан, приготовленный без масла",Овощи,23.5,0.9,0.2,5.5
"Помидор, сырой",Овощи,18,0.9,0.2,3.9
"Помидор, приготовленный без масла",Овощи,16.9,0.9,0.2,3.6
"Огурец, сырой",Овощи,15,0.7,0.1,3.6
"Огурец, приготовленный без масла",Овощи,14.1,0.7,0.1,3.3
"Перец сладкий красный, сырой",Овощи,31,1,0.3,6
"Перец сладкий красный, приготовленный без масла",Овощи,29.1,0.9,0.3,5.5
"Перец сладкий зелёный, сырой",Овощи,20,0.9,0.2,4.6
"Перец сладкий зелёный, приготовленный без масла",Овощи,18.8,0.9,0.2,4.2
"Лук репчатый, сырой",Овощи,40,1.1,0.1,9.3
"Лук репчатый, приготовленный без масла",Овощи,37.6,1.0,0.1,8.6
"Лук зелёный, сырой",Овощи,32,1.8,0.2,7.3
"Лук зелёный, приготовленный без масла",Овощи,30.1,1.7,0.2,6.7
"Чеснок, сырой",Овощи,149,6.4,0.5,33.1
"Чеснок, приготовленный без масла",Овощи,140.1,6.1,0.5,30.5
"Шпинат, сырой",Овощи,23,2.9,0.4,3.6
"Шпинат, приготовленный без масла",Овощи,21.6,2.8,0.4,3.3
"Салат листовой, сырой",Овощи,15,1.4,0.2,2.9
"Салат листовой, приготовленный без масла",Овощи,14.1,1.3,0.2,2.7
"Тыква, сырой",Овощи,26,1,0.1,6.5
"Тыква, приготовленный без масла",Овощи,24.4,0.9,0.1,6.0
"Редис, сырой",Овощи,16,0.7,0.1,3.4
"Редис, приготовленный без масла",Овощи,15.0,0.7,0.1,3.1
"Редька, сырой",Овощи,18,0.6,0.1,4.1
"Редька, приготовленный без масла",Овощи,16.9,0.6,0.1,3.8
"Спаржа, сырой",Овощи,20,2.2,0.1,3.9
"Спаржа, приготовленный без масла",Овощи,18.8,2.1,0.1,3.6
"Зелёный горошек, сырой",Овощи,81,5.4,0.4,14.5
"Зелёный горошек, приготовленный без масла",Овощи,76.1,5.1,0.4,13.3
"Яблоко, свежий",Фрукты и ягоды,52,0.3,0.2,13.8
"Яблоко, замороженный без сахара",Фрукты и ягоды,49.9,0.3,0.2,13.0
"Груша, свежий",Фрукты и ягоды,57,0.4,0.1,15.2
"Груша, замороженный без сахара",Фрукты и ягоды,54.7,0.4,0.1,14.3
"Банан, свежий",Фрукты и ягоды,89,1.1,0.3,22.8
"Банан, замороженный без сахара",Фрукты и ягоды,85.4,1.1,0.3,21.4
"Апельсин, свежий",Фрукты и ягоды,47,0.9,0.1,11.8
"Апельсин, замороженный без сахара",Фрукты и ягоды,45.1,0.9,0.1,11.1
"Мандарин, свежий",Фрукты и ягоды,53,0.8,0.3,13.3
"Мандарин, замороженный без сахара",Фрукты и ягоды,50.9,0.8,0.3,12.5
"Грейпфрут, свежий",Фрукты и ягоды,42,0.8,0.1,10.7
"Грейпфрут, замороженный без сахара",Фрукты и ягоды,40.3,0.8,0.1,10.1
"Лимон, свежий",Фрукты и ягоды,29,1.1,0.3,9.3
"Лимон, замороженный без сахара",Фрукты и ягоды,27.8,1.1,0.3,8.7
"Киви, свежий",Фрукты и ягоды,61,1.1,0.5,14.7
"Киви, замороженный без сахара",Фрукты и ягоды,58.6,1.1,0.5,13.8
"Ананас, свежий",Фрукты и ягоды,50,0.5,0.1,13.1
"Ананас, замороженный без сахара",Фрукты и ягоды,48.0,0.5,0.1,12.3
"Манго, свежий",Фрукты и ягоды,60,0.8,0.4,15
"Манго, замороженный без сахара",Фрукты и ягоды,57.6,0.8,0.4,14.1
"Персик, свежий",Фрукты и ягоды,39,0.9,0.3,9.5
"Персик, замороженный без сахара",Фрукты и ягоды,37.4,0.9,0.3,8.9
"Нектарин, свежий",Фрукты и ягоды,44,1.1,0.3,10.6
"Нектарин, замороженный без сахара",Фрукты и ягоды,42.2,1.1,0.3,10.0
"Абрикос, свежий",Фрукты и ягоды,48,1.4,0.4,11.1
"Абрикос, замороженный без сахара",Фрукты и ягоды,46.1,1.4,0.4,10.4
"Слива, свежий",Фрукты и ягоды,46,0.7,0.3,11.4
"Слива, замороженный без сахара",Фрукты и ягоды,44.2,0.7,0.3,10.7
"Виноград, свежий",Фрукты и ягоды,69,0.7,0.2,18.1
"Виноград, замороженный без сахара",Фрукты и ягоды,66.2,0.7,0.2,17.0
"Арбуз, свежий",Фрукты и ягоды,30,0.6,0.2,7.6
"Арбуз, замороженный без сахара",Фрукты и ягоды,28.8,0.6,0.2,7.1
"Дыня, свежий",Фрукты и ягоды,34,0.8,0.2,8.2
"Дыня, замороженный без сахара",Фрукты и ягоды,32.6,0.8,0.2,7.7
"Клубника, свежий",Фрукты и ягоды,32,0.7,0.3,7.7
"Клубника, замороженный без сахара",Фрукты и ягоды,30.7,0.7,0.3,7.2
"Малина, свежий",Фрукты и ягоды,52,1.2,0.7,11.9
"Малина, замороженный без сахара",Фрукты и ягоды,49.9,1.2,0.7,11.2
"Черника, свежий",Фрукты и ягоды,57,0.7,0.3,14.5
"Черника, замороженный без сахара",Фрукты и ягоды,54.7,0.7,0.3,13.6
"Ежевика, свежий",Фрукты и ягоды,43,1.4,0.5,9.6
"Ежевика, замороженный без сахара",Фрукты и ягоды,41.3,1.4,0.5,9.0
"Вишня, свежий",Фрукты и ягоды,50,1,0.3,12.2
"Вишня, замороженный без сахара",Фрукты и ягоды,48.0,1,0.3,11.5
"Черешня, свежий",Фрукты и ягоды,63,1.1,0.2,16
"Черешня, замороженный без сахара",Фрукты и ягоды,60.5,1.1,0.2,15.0
"Гранат, свежий",Фрукты и ягоды,83,1.7,1.2,18.7
"Гранат, замороженный без сахара",Фрукты и ягоды,79.7,1.7,1.2,17.6
"Хурма, свежий",Фрукты и ягоды,70,0.6,0.2,18.6
"Хурма, замороженный без сахара",Фрукты и ягоды,67.2,0.6,0.2,17.5
Молоко 0.5%,Молочные продукты,37,3,0.5,4.8
Молоко 1.5%,Молочные продукты,44,3,1.5,4.8
Молоко 2.5%,Молочные продукты,52,2.8,2.5,4.7
Молоко 3.2%,Молочные продукты,60,2.9,3.2,4.7
Кефир 1%,Молочные продукты,40,3,1,4
Кефир 2.5%,Молочные продукты,53,2.9,2.5,4
Йогурт натуральный 2%,Молочные продукты,61,4.3,2,6.2
Йогурт греческий 2%,Молочные продукты,73,9.9,2,3.9
Йогурт греческий 5%,Молочные продукты,97,9,5,3.8
Творог 0%,Молочные продукты,71,16.5,0.2,1.3
Творог 2%,Молочные продукты,103,18,2,3.3
Творог 5%,Молочные продукты,121,17,5,1.8
Творог 9%,Молочные продукты,159,16.7,9,2
Сметана 10%,Молочные продукты,119,3,10,3.9
Сметана 15%,Молочные продукты,162,2.6,15,3.6
Сыр моцарелла,Молочные продукты,280,28,17,3.1
Сыр гауда,Молочные продукты,356,25,27,2.2
Сыр адыгейский,Молочные продукты,240,18.5,18,1.5
Сыр фета,Молочные продукты,264,14.2,21.3,4.1
Сливки 10%,Молочные продукты,118,3,10,4
